time	r_pcm	vr_pcm	fi_n	fi_v	snr_so	so_r_pcm	so_vr_pcm	so_fi_n_pcm	so_fi_v_pcm	z_r	z_vr	z_fi_n	z_fi_v
3.402	937525.9643	5196.533203	2.600725148	-0.480409399	12.04119983	-8.587804786	1.029968262	-0.160348679	0.034308185	937534.5521	5195.503235	2.761073826	-0.514717584
3.4566	937251.1545	5196.533203	2.609565236	-0.462746897	15.29574578	16.19972267	-1.029968262	-0.015604011	0.109220872	937234.9548	5197.563171	2.625169246	-0.571967769
3.5112	936951.3621	5196.533203	2.613101288	-0.452149418	19.64542466	-3.122838104	4.119873047	-0.061642758	0.040861434	936954.4849	5192.41333	2.674744046	-0.493010852
3.5658	936676.5523	5196.533203	2.621941463	-0.439785711	18.06179974	7.221563116	5.493164063	0.071198495	-0.035432517	936669.3308	5191.040039	2.550742969	-0.404353194
3.6204	936376.7599	5185.546875	2.618405386	-0.416824595	21.58362492	-5.074611919	-3.776550293	-0.01767534	0.094604535	936381.8345	5189.323425	2.636080726	-0.51142913
3.675	936101.9501	5185.546875	2.623709506	-0.416824595	27.18043885	-0.390354763	-2.746582031	-0.01864196	0.01262464	936102.3405	5188.293457	2.642351466	-0.429449235
3.7296	935802.1576	5185.546875	2.629013648	-0.400928477	22.14419939	-5.660144064	-1.71661377	0.021238025	-0.002312911	935807.8178	5187.263489	2.607775623	-0.398615566
3.7842	935527.3479	5185.546875	2.629013648	-0.38326616	20	5.074611919	1.373291016	-0.018172459	0.032573501	935522.2733	5184.173584	2.647186107	-0.415839661
3.8388	935227.5554	5185.546875	2.634317813	-0.37090256	12.79697104	-4.684257156	4.119873047	-0.121048547	-0.050627063	935232.2397	5181.427002	2.75536636	-0.320275497
3.8934	934952.7457	5185.546875	2.641390069	-0.35147408	13.62482475	6.050498827	1.373291016	-0.118701036	-0.039223122	934946.6952	5184.173584	2.760091104	-0.312250958
3.9456	934677.9359	5185.546875	2.650230444	-0.335578081	16.12359948	-1.561419052	4.806518555	-0.024220739	-0.024478311	934679.4973	5180.740356	2.674451184	-0.311099771
4.0002	934403.1262	5185.546875	2.6555347	-0.316149674	19.64542466	9.758869076	5.836486816	-0.050678519	0.072535484	934393.3673	5179.710388	2.706213219	-0.388685158
4.0548	934103.3337	5174.560547	2.66614328	-0.309084807	22.14419939	-4.489079775	-3.776550293	0.030738521	0.000578228	934107.8228	5178.337097	2.635404758	-0.309663035
